,YEAR,SSP,value
320,2066,SSP1,9086.710959904862
321,2066,SSP2,10394.688330818415
322,2066,SSP3,11146.761968571982
323,2066,SSP4,9438.59418212165
324,2066,SSP5,12212.812484027703
325,2067,SSP1,9086.840420756074
326,2067,SSP2,10395.694048637291
327,2067,SSP3,11148.876249385194
328,2067,SSP4,9438.84607600446
329,2067,SSP5,12217.51466330181
330,2068,SSP1,9086.952230825964
331,2068,SSP2,10396.589894060353
332,2068,SSP3,11150.779548099143
333,2068,SSP4,9439.065841355401
334,2068,SSP5,12221.794720027321
335,2069,SSP1,9087.048809183476
336,2069,SSP2,10397.387948410325
337,2069,SSP3,11152.493047409045
338,2069,SSP4,9439.257600216208
339,2069,SSP5,12225.690679793915
340,2070,SSP1,9087.132241576932
341,2070,SSP2,10398.098957082904
342,2070,SSP3,11154.035795305967
343,2070,SSP4,9439.424942626041
344,2070,SSP5,12229.237152324977
345,2071,SSP1,9087.204326615765
346,2071,SSP2,10398.732477861075
347,2071,SSP3,11155.424920061807
348,2071,SSP4,9439.570995690368
349,2071,SSP5,12232.46563388412
350,2072,SSP1,9087.266615517992
351,2072,SSP2,10399.297012750487
352,2072,SSP3,11156.675823759237
353,2072,SSP4,9439.698483632183
354,2072,SSP5,12235.40478392731
355,2073,SSP1,9087.320446324711
356,2073,SSP2,10399.800125156755
357,2073,SSP3,11157.802356452348
358,2073,SSP4,9439.809780008529
359,2073,SSP5,12238.080677992404
360,2074,SSP1,9087.366973356111
361,2074,SSP2,10400.248544028012
362,2074,SSP3,11158.816972853738
363,2074,SSP4,9439.906953119758
364,2074,SSP5,12240.517038702801
365,2075,SSP1,9087.407192574507
366,2075,SSP2,10400.648256409011
367,2075,SSP3,11159.730873268274
368,2075,SSP4,9439.99180550364
369,2075,SSP5,12242.735446645403
370,2076,SSP1,9087.441963426327
371,2076,SSP2,10401.004589694452
372,2076,SSP3,11160.554130332284
373,2076,SSP4,9440.065908289125
374,2076,SSP5,12244.755532767418
375,2077,SSP1,9087.472027654652
376,2077,SSP2,10401.32228472765
377,2077,SSP3,11161.295802968916
378,2077,SSP4,9440.130631082644
379,2077,SSP5,12246.595153823278
380,2078,SSP1,9087.498025504907
381,2078,SSP2,10401.605560764057
382,2078,SSP3,11161.964038835064
383,2078,SSP4,9440.187167971226
384,2078,SSP5,12248.270552293287
385,2079,SSP1,9087.520509686954
386,2079,SSP2,10401.858173206241
387,2079,SSP3,11162.566166411749
388,2079,SSP4,9440.236560150019
389,2079,SSP5,12249.79650209043
390,2080,SSP1,9087.539957406005
391,2080,SSP2,10402.083464916414
392,2080,SSP3,11163.108777777565
393,2080,SSP4,9440.279715615023
394,2080,SSP5,12251.186441271642
395,2081,SSP1,9087.556780730989
396,2081,SSP2,10402.284411822884
397,2081,SSP3,11163.59780300262
398,2081,SSP4,9440.317426303978
399,2081,SSP5,12252.452592875003
400,2082,SSP1,9087.571335531384
401,2082,SSP2,10402.463663457082
402,2082,SSP3,11164.03857700788
403,2082,SSP4,9440.350383018123
404,2082,SSP5,12253.606074915204
405,2083,SSP1,9087.583929181326
406,2083,SSP2,10402.623578986759
407,2083,SSP3,11164.435899650938
408,2083,SSP4,9440.379188413848
409,2083,SSP5,12254.657000485986
410,2084,SSP1,9087.594827201947
411,2084,SSP2,10402.766259247874
412,2084,SSP3,11164.79408972336
413,2084,SSP4,9440.404368315447
414,2084,SSP5,12255.614568840245
415,2085,SSP1,9087.604258989106
416,2085,SSP2,10402.893575221542
417,2085,SSP3,11165.117033476165
418,2085,SSP4,9440.426381567266
419,2085,SSP5,12256.48714824596
420,2086,SSP1,9087.612422753138
421,2086,SSP2,10403.00719335247
422,2086,SSP3,11165.408228228154
423,2086,SSP4,9440.44562861498
424,2086,SSP5,12257.282351348713
425,2087,SSP1,9087.619489779625
426,2087,SSP2,10403.108598061042
427,2087,SSP3,11165.670821555921
428,2087,SSP4,9440.462458980928
429,2087,SSP5,12258.007103709331
430,2088,SSP1,9087.62560810501
431,2088,SSP2,10403.199111761794
432,2088,SSP3,11165.907646514048
433,2088,SSP4,9440.477177776922
434,2088,SSP5,12258.66770612766
435,2089,SSP1,9087.630905687887
436,2089,SSP2,10403.279912666056
437,2089,SSP3,11166.121253288618
438,2089,SSP4,9440.490051379216
439,2089,SSP5,12259.269891310441
440,2090,SSP1,9087.635493145463
441,2090,SSP2,10403.35205061542
442,2090,SSP3,11166.3139376464
443,2090,SSP4,9440.501312374052
444,2090,SSP5,12259.818875392613
445,2091,SSP1,9087.639466115219
