,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
32,23881.572168667117,26800.11863946813,22876.699532189297,12932.733431208766,21141.687141421968,25506.25128340005,14461.152337073383,14795.477080546229,32774.97429853738,122899.69696641542,68718.5957581457,69017.60398056755,24487.768147061735,37901.066652784866,88948.47069325185,34686.984124669485,41828.85012967939,29435.010595814463,151881.71697441573,31453.00332134176,6618.86183414942,63252.611550226,69539.05080979444,16919.202417740562,58547.47161211658,1722.827967230849,16606.16586696983,11119.164052566115,8470.8566228376,2309.095744594098,10764.56317881549
33,24016.150341022647,26894.60704761074,22944.43197580353,13016.763575627801,21304.71302561357,25601.040149954555,14523.155053760669,14852.924208711307,33020.602788091346,123863.04633535452,69215.74984466383,70303.21717820062,24670.875322818356,38673.93509089707,89515.12931521713,34901.37835951269,42154.859396109394,29744.261163028532,154110.47435431668,32055.34266104795,6660.734101241107,65668.72736947087,70788.41220514354,17204.47198039858,61470.22088328963,1745.4485243572772,16771.079603203554,11236.073973043503,8803.780970094962,2316.3998275888075,10835.822932299998
34,24134.38552478119,26977.294379664105,23003.642479799768,13090.708215686955,21448.4976918302,25684.0199659768,14577.491268451144,14903.230062881397,33237.15317746284,124712.8980384046,69653.83703577267,71460.4343460186,24832.300730209194,39371.90932115511,90013.65805418792,35089.92891761572,42442.43569522223,30018.43953494604,156101.90075307572,32598.054838287757,6697.568970030196,67924.33446443792,71911.6122764061,17460.406384538182,64259.01365276091,1765.6021414656925,16917.133452490674,11339.72666512498,9115.228253238587,2322.78734330768,10898.54424930022
35,24238.124300411724,27049.59354646719,23055.366497315226,13155.678641221995,21575.084415955567,25756.59748536418,14625.060358712411,14947.241585027768,33427.73421409704,125461.25671449844,70039.22284440321,72497.87610398658,24974.363584162544,39999.49688011062,90451.59213519977,35255.510114987585,42695.64977180521,30260.939222509693,157875.4591874669,33085.02162104587,6729.924311141378,70015.05040437743,72917.44360429682,17689.173521241577,66897.5333923383,1783.5048618228,17046.1894136295,11431.404502830559,9404.461369603358,2328.369076240832,10953.664537304221
36,24329.037842465248,27112.76304836935,23100.52257566934,13212.687520717944,21686.35403435189,25820.02746823004,14666.667922467828,14985.71513214314,33595.202239127706,126119.18469075716,70377.74319459415,73424.57422518542,25099.194493012044,40561.581237354294,90835.79102717535,35400.7345099965,42918.251400583744,30474.964491656603,159450.39069345425,33520.347958113256,6758.307783649128,71940.08872968923,73815.01628328208,17892.981306544225,69373.93687389698,1799.366372706869,17159.995961009925,11512.318441473853,9671.246546724797,2333.2434455342564,11002.038864029077
37,24408.63027017672,27167.920205540067,23139.92336083559,13262.651657014148,21784.023986298937,25875.42524954129,14703.032648024751,15019.323724665617,33742.16138835936,126696.79257598086,70674.70887626166,74249.67371946394,25208.73570456111,41063.22895357718,91172.45941167438,35527.96220047735,43113.6666459948,30663.50436352409,160845.32663324758,33908.218923212335,6783.178446603317,73701.75889491985,74613.47827717473,18074.018042824064,71680.7510988806,1813.3867423819468,17260.176634382275,11583.598164773848,9915.788742341145,2337.4976323641445,11044.442007071184
38,24478.24897477578,27216.054213965323,23174.286134321217,13306.396458675488,21869.651842766747,25923.7792888699,14734.793466140056,15048.664364556962,33870.97026103662,127203.25702168344,70934.92236042966,74982.19765780831,25304.74615642981,41509.532748559584,91467.17926421984,35639.31406151704,43285.004238364774,30829.318938689335,162078.01002436204,34252.785717810744,6804.949179745256,75304.91466894289,75321.79741607886,18234.406983769717,73814.56792037752,1825.754214766514,17348.22485430994,11646.286894234574,10138.65822666661,2341.208670357116,11081.572013102917
39,24539.096071715405,27258.038716649422,23204.24273052339,13344.661520902437,21944.641995577575,25965.96335856975,14762.516702885512,15074.265199350968,33983.75309243299,127646.85774252989,71162.70308932313,75630.86963816636,25388.809868669206,41905.48896729019,91724.94902745345,35736.68744211524,43435.068398775795,30974.935273681538,163165.10919882098,34558.07868935013,6823.98961807573,76756.39519647548,75948.59921077738,18376.173465875454,75775.59093929708,1836.6438727488019,17425.50349109228,11701.339812944158,10340.714653867506,2344.444479858518,11114.054744795612
40,24592.24033386377,27294.643686513373,23230.348746697327,13378.106844142016,22010.254438028875,26002.748140233325,14786.703034565562,15096.592379286561,34082.413856387306,128035.02739877171,71361.91815005968,76203.98683451243,25462.34650757194,42255.90624894801,91950.22675861449,35821.773178821626,43566.375957148055,31102.650399867878,164122.10697011225,34827.94428549971,6840.62937160684,78064.49297773854,76502.05306870033,18501.22272490372,77567.09125054722,1846.216991453589,17493.247927452445,11749.625192537293,10523.033648703698,2347.26483427626,11142.44900772846
41,24638.629133397364,27326.546499024214,23253.092005085695,13407.319333081976,22067.61479847696,26034.81208580345,14807.79411083251,15116.056509451368,34168.652070317534,128374.40930561583,71536.01593826612,76709.3357524408,25526.623207772653,42565.34129265099,92146.9749004137,35896.073070885264,43681.17606904563,31214.53946200278,164963.24952629174,35066.00238565774,6855.1613581178535,79238.47245798846,76989.7989479941,18611.326482580185,79194.82409612193,1854.6209212719934,17552.57157191716,11791.927458326916,10686.839504622629,2349.7222522867473,11167.251947287086
42,24679.100058398795,27354.342133341113,23272.900260921535,13432.819313470462,22117.72498680812,26062.75146475994,14826.178762085527,15133.018640370528,34243.979371333975,128670.91911281653,71688.06100906988,77154.14281051999,25582.766960277608,42838.05729104536,92318.70495614274,35960.91719610785,43781.47123481818,31312.46732951063,165701.54098142343,35275.6203770145,6867.845123224414,80288.1531364679,77418.90666500815,18708.11649549206,80666.44970596302,1861.9893627984013,17604.472983895907,11828.951569626679,10833.446221611788,2351.862813749437,11188.904486748754
43,24714.391978977834,27378.552484881588,23290.14817383345,13455.066880624008,22161.473979232764,26087.089566527044,14842.198744827681,15147.795771180357,34309.73617754802,128929.8075842027,71820.76879944948,77545.05239077345,25631.777056817777,43078.000690350906,92468.52085756593,36017.4806341724,43869.03865752738,31398.10237629136,166348.7715333523,35459.90053788581,6878.910059384339,81223.56294016974,77795.8607047809,18793.083446640914,81990.99082701227,1868.4429189635653,17649.843953761876,11861.32822184615,10964.207939460106,2353.7269000551646,11207.796643452939
