,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
22,SSP1,2042,2098088.0104179997,1368023594,1116143.0869520002,77698.9434696,82081415640,1860,125885280.62120001,52659208282.29,34335560296520.0,28013701520.530003,1950139759.2029998,17435068.344499998,17728426.66455078
23,SSP1,2043,2142195.7284,1364864261,1119685.3847310003,77913.26419359999,81891855660,1860,128531743.70319998,53766253122.08001,34256264573981.0,28102608465.260002,1955518923.2839997,17500631.996000003,17938136.50732422
24,SSP1,2044,2184662.0356689994,1361375468,1122763.8943789997,78105.68612160001,81682528080,1860,131079722.13380003,54832100746.28,34168698104158.0,28179874949.58,1960348456.7610004,17711950.6835,18151552.125
25,SSP1,2045,2225464.3516780003,1357536406,1125435.9693820002,78278.3199965,81452184360,1860,133527861.11050002,55856184410.19,34072353848694.0,28246940464.690006,1964681336.593,17995293.9985,18368511.993164062
26,SSP1,2046,2265443.663659,1353332676,1127752.70528,78433.097956,81199960560,1860,135926619.8203,56859611771.200005,33966834209168.0,28305087442.289997,1968566056.831,18196275.041,18588851.200195312
27,SSP1,2047,2303768.9458680004,1348778444,1129759.412857,78571.7837271,80926706640,1860,138226136.7475,57821525195.59999,33852549628042.0,28355453124.26,1972046884.439,18435027.574999996,18812401.458984375
28,SSP1,2048,2340434.7504470004,1343894205,1131496.1119030002,78695.98323620002,80633652300,1860,140426085.0332,58741787942.91001,33729961385349.0,28399041951.850002,1975164126.5530005,18927395.067,19038991.09375
29,SSP1,2049,2375441.327794,1338700646,1132998.02605,78807.15547989999,80322038760,1860,142526479.67740002,59620406300.19,33599613108557.0,28436737992.059998,1977954401.2810001,19139874.777500004,19268445.05419922
30,SSP1,2050,2408794.340254,1333218333,1134296.0631849996,78906.62329019999,79993099980,1860,144527660.41399997,60457522392.229996,33461999102794.0,28469316992.04,1980450910.5280004,19976692.252,19500584.903320312
31,SSP1,2051,2443122.1749300007,1327464916,1135417.273917,78995.5838836,79647894960,1860,146587330.49740005,61319105217.380005,33317603798685.0,28497457883.249996,1982683702.739,20317855.920500003,19735228.826660156
32,SSP1,2052,2475931.894887001,1321445198,1136385.2783,79075.11902670002,79286711880,1860,148555913.69120005,62142585390.54,33166508057478.0,28521753503.810005,1984679928.653,20742266.429500006,19972191.623046875
33,SSP1,2053,2507241.792467,1315160906,1137220.6609620005,79146.20477560001,78909654360,1860,150434507.5433,62928422022.66,33008790176411.0,28542720493.320004,1986464085.943,20837552.222000003,20211284.716308594
34,SSP1,2054,2537074.441924,1308613645,1137941.329903,79209.72065409999,78516818700,1860,152224466.50590003,63677181701.020004,32844439335120.0,28560808320.500004,1988058249.6829998,20958432.369500004,20452316.143554688
35,SSP1,2055,2565456.4235400003,1301805086,1138562.8423219998,79266.45828450001,78108305160,1860,153927385.4102,64389531549.61,32673550906139.0,28576407454.479996,1989482288.6910005,21066454.1735,20695090.563964844
